date,date_period_text,value,data_element_text,data_measure_text,date_measure_text,data_transform_text,geo_entity_type_text,geo_entity_text,industry_text,sizeclass_text,seas_adj_text,viz_type_text
2022-04-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-04-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-03-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-03-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-02-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-02-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-01-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2022-01-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-12-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-12-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-11-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-11-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-10-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-10-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-09-01,Monthly,1,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-09-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-08-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-08-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-07-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-07-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-06-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-06-01,Monthly,0.9333333333333332,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-05-01,Monthly,0.9,Layoffs and discharges,Rate,Current,Raw,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
2021-05-01,Monthly,0.9666666666666667,Layoffs and discharges,Rate,Current,Trail 3,Nation,US,Total nonfarm,All size classes,Seasonally adjusted,Time series line
